Stopping Criterion,Distribution,MC/QMC,mean_shift,solution,n_samples,time
CubQMCSobolG,Sobol,QMC,2.1,1.8170888883790937,2048.0,0.006506601969401042
CubQMCSobolG,Sobol,QMC,2.2,1.79463574848434,4096.0,0.014807383219401041
CubQMCSobolG,Sobol,QMC,2.3,1.7969262845292764,4096.0,0.013524055480957031
CubQMCSobolG,Sobol,QMC,2.4,1.7967531476757788,4096.0,0.013544321060180664
CubQMCSobolG,Sobol,QMC,2.5,1.7942053915813156,4096.0,0.012964010238647461
CubQMCSobolG,Sobol,QMC,2.6,1.794019972978501,4096.0,0.013286590576171875
CubQMCSobolG,Sobol,QMC,2.7,1.7889238508887377,4096.0,0.01345372200012207
CubQMCSobolG,Sobol,QMC,2.8,1.792902744380766,8192.0,0.026865402857462566
CubQMCSobolG,Sobol,QMC,2.9,1.7909235174741422,8192.0,0.022562026977539062
CubQMCSobolG,Sobol,QMC,3.0,1.7866557515757835,8192.0,0.023952325185139973
